#{"t_start": 1774784961.6166747, "env_id": "None"}
r,l,t
0.98938525,2,5.699998
1.9583726,3,7.797801
1.6000543,3,7.797936
1.7671529,3,7.797963
1.6000543,3,7.797982
1.9602091,3,7.797998
1.6000543,3,7.798014
1.9602091,3,7.79803
2.7193458,4,9.824737
2.1647727,4,9.824854
2.5682893,4,9.824883
2.7591155,4,9.824906
2.4536853,4,9.82493
2.3985653,4,9.824956
2.3989275,4,9.824978
3.8476968,5,11.869622
3.3983889,5,11.869733
3.9894397,5,11.869749
3.2023098,5,11.869762
3.3645625,5,11.869774
3.3979666,5,11.869784
3.558406,5,11.869795
3.4032395,5,11.869812
3.40935,5,11.869823
3.9550917,5,11.869834
3.764141,5,11.869844
3.2171164,5,11.869855
3.7940125,5,11.869867
4.75931,6,13.828337
4.5918636,6,13.828432
4.193875,6,13.828447
3.609075,6,13.82846
3.608135,6,13.828471
2.1216552,3,13.828484
4.358755,6,13.828495
3.7283957,6,13.828506
4.7221546,6,13.828516
4.644422,7,15.817438
2.0795274,3,15.817584
4.5262003,7,15.817623
1.1985551,2,15.817651
4.2102275,7,15.817681
2.2510998,4,15.817707
5.360396,7,15.817734
5.44787,8,18.026427
6.163762,8,18.026525
6.561319,8,18.026542
5.899826,8,18.026553
2.3989825,4,18.026564
1.5982071,3,18.026576
6.5973763,8,18.026586
6.792278,8,18.026598
1.1962425,2,18.026609
7.3560886,9,20.159647
6.2488136,9,20.159771
6.797783,9,20.1598
7.648081,9,20.15982
4.1642766,6,22.154146
3.2045453,5,22.15425
7.4835553,10,22.154265
8.269714,11,24.134511
8.56106,11,24.134654
8.5367365,11,24.134693
4.2965546,7,24.134726
1.1985551,2,24.134755
9.160662,11,24.134783
7.6375427,11,24.134814
8.881072,11,24.134843
5.359376,7,24.13487
4.9571686,6,24.134898
8.337736,12,26.127318
8.561996,12,26.127401
9.487411,12,26.127412
5.162519,7,26.127421
9.75952,12,26.127429
9.130477,12,26.127437
4.5658574,6,26.127445
8.529355,12,26.127453
3.3927448,5,28.063823
3.0500176,5,28.063903
9.724977,13,28.063915
2.566059,4,28.063924
4.1811843,6,28.063933
9.284371,13,28.063941
2.5642135,4,29.972347
11.371022,14,29.972444
10.971053,14,29.972461
7.388815,9,29.972475
4.5619087,7,29.972486
9.387578,11,29.972499
3.2162936,5,29.972511
1.9602091,3,31.84588
12.562212,15,31.850159
6.4581,10,31.850181
1.9602091,3,31.8502
13.193824,15,31.850216
7.80641,11,31.850234
12.765477,16,33.783551
1.6000543,3,33.783644
10.517292,16,33.783663
7.587775,9,35.697234
2.5942352,4,35.69732
10.310221,14,35.697333
4.8863344,7,37.660615
14.092341,18,37.660767
9.758299,11,37.660783
12.138658,18,37.660794
15.602168,18,37.660804
7.5676565,10,37.660813
7.001913,9,39.734226
1.9602091,3,39.734312
4.760184,6,39.734324
13.186285,19,39.734332
13.35595,20,41.658594
16.197767,20,41.65871
15.139657,20,41.658728
8.731541,12,41.658742
6.4036274,9,41.658755
7.402213,9,41.658768
9.944635,15,43.974584
15.33792,21,43.97469
7.5271997,10,43.974708
11.532079,16,43.974722
1.7671529,3,43.974735
14.993182,21,43.974746
14.803048,21,43.974757
13.170018,17,45.961304
11.165001,14,45.961411
12.329604,17,45.961429
4.6472487,7,45.961441
8.554146,10,45.961455
9.756452,11,45.961467
6.765718,10,45.961478
15.590845,22,45.961488
4.2682376,7,45.961501
15.870747,22,45.961512
18.686995,23,47.875928
19.451315,23,47.876028
3.0491953,5,47.876045
7.6181817,11,47.876057
3.595473,5,47.876068
17.608696,20,47.876079
19.173113,24,49.808031
16.794119,19,49.808126
17.259134,24,49.808145
7.090776,10,49.808157
0.9182361,2,49.80817
2.2818725,4,49.808182
7.9903855,10,49.808194
14.063865,19,52.076491
8.821849,12,52.076575
12.093667,17,52.076585
6.370934,10,52.076593
15.786472,17,52.076601
1.7671529,3,52.076608
2.4011736,4,52.076616
3.3645687,5,52.076622
6.338775,10,52.07663
13.422663,19,54.224431
9.811766,14,54.224581
3.0921602,5,54.224619
3.6059203,6,56.27179
14.266686,21,56.271885
14.245454,21,56.271904
2.3647592,4,56.271917
9.808097,13,56.27193
1.652549,3,56.27194
4.971556,8,56.271952
8.219704,11,58.238235
3.9968107,6,58.238377
20.55052,28,58.238415
7.9314117,12,58.238444
3.2023098,5,58.238474
6.0541196,8,58.238504
2.3985653,4,58.238529
3.3671901,5,60.283559
4.5574136,6,60.283658
22.071505,29,60.283692
9.153938,11,60.28371
3.9572065,5,62.221974
21.57896,30,62.222118
14.817505,19,62.222155
27.11637,30,62.222183
12.381891,18,62.222208
23.11178,30,62.222232
21.789831,30,62.222256
1.9602091,3,62.22228
21.026472,30,62.222311
22.053492,30,62.222335
23.99565,30,62.222359
22.24564,30,62.222383
10.730537,14,62.222406
22.06391,30,62.22243
14.009963,18,62.222452
20.625189,30,62.222475
1.8555311,3,62.222498
21.718216,30,62.222522
24.857828,30,62.222546
23.331688,30,62.222568
18.20225,24,64.236224
4.400167,6,64.236396
12.490718,17,64.236447
4.2735157,5,66.23296
27.953785,30,66.233173
3.4032395,5,66.233222
6.562282,8,66.233255
1.7649229,3,66.233281
21.961096,29,66.23333
11.010288,15,68.287591
2.957371,4,68.287689
