#{"t_start": 1774950764.3353643, "env_id": "None"}
r,l,t
1.597429,3,6.345559
2.792487,4,7.857795
2.7591155,4,7.857925
2.1647727,4,7.857945
2.8490164,4,7.85796
2.757267,4,7.857973
2.4011736,4,7.857984
2.5634325,4,7.857996
2.7661605,4,7.858007
3.6068835,6,11.136629
4.760184,6,11.136745
4.9571776,6,11.136766
4.7561126,6,11.136781
4.6912436,7,12.571172
5.648863,7,12.571397
4.444798,7,12.571418
5.358592,7,12.57143
1.7649229,3,12.571443
5.160261,7,12.571454
5.5683722,8,14.271899
6.953466,8,14.272007
7.0034404,9,16.063572
8.054113,9,16.063667
6.609654,9,16.063682
7.9555764,9,16.063692
3.0491812,5,16.063701
2.0541613,3,16.06371
7.7665224,10,17.921783
6.925155,10,17.926627
1.6000543,3,19.568261
8.720251,11,19.5684
7.3424115,11,19.56843
7.2556415,11,19.568455
4.651289,7,19.568477
3.595473,5,21.324427
1.7649229,3,21.324768
8.973875,13,23.019643
5.8738446,7,23.020123
1.0508548,2,24.739925
2.7613456,4,24.740054
4.1234093,5,24.740079
10.236722,15,26.368585
2.6012802,4,26.36872
11.256055,16,28.100571
12.289596,16,28.100695
7.4502864,10,28.100721
2.4011736,4,29.619588
11.587691,17,29.619742
14.987337,17,29.619775
15.354794,17,29.619798
10.197423,12,31.381864
7.6533594,11,31.381979
5.684272,8,31.381999
2.6012802,4,31.382014
5.7668886,9,31.382029
13.544951,19,33.02515
4.9553156,6,33.025295
3.2023098,5,33.025336
5.09261,8,33.025359
15.288102,19,33.025377
3.4001958,5,34.699169
14.382736,20,34.699583
1.8003644,3,34.699744
3.6508596,5,36.379653
3.7863147,5,38.069745
9.557849,11,38.069863
12.581856,15,38.069882
15.221784,22,38.069895
4.3684335,6,38.069908
2.3993435,4,39.737816
13.960255,17,41.277147
14.893005,20,41.277906
13.313918,17,41.278105
8.730747,12,41.278238
7.245626,10,41.278373
4.5640335,6,41.278499
19.047361,24,41.278625
15.33483,20,41.278752
18.253418,26,44.853543
4.2102275,7,44.853663
7.3964067,9,44.853688
5.3567104,7,44.853706
1.7649229,3,46.449102
4.3295455,7,46.449246
6.00815,9,48.097736
2.7595088,4,48.097845
19.177073,28,48.097863
6.412304,9,49.87047
3.3694255,5,49.870584
21.022486,29,49.8706
18.99128,20,49.870611
5.005557,7,49.87062
13.906122,20,49.870629
7.159691,9,49.87064
4.7964077,7,49.87065
21.413977,30,51.629474
11.195798,12,51.629593
21.5962,30,51.629611
8.171674,12,51.629626
9.606236,12,51.629641
21.327234,30,51.629655
23.083872,30,51.629668
22.954897,30,51.62968
21.88586,30,51.629693
4.5592537,6,51.629706
5.026191,8,53.178686
1.7649229,3,53.178975
4.969463,7,53.17914
22.468708,30,56.460989
4.5574074,6,56.461103
5.2022753,7,56.461123
1.9602091,3,56.461135
2.4977314,4,56.461147
21.66768,30,58.150488
8.380356,12,58.150614
3.794167,5,58.150633
23.902483,30,58.150649
12.256775,18,58.150663
21.529713,30,58.150676
3.200102,5,59.877649
1.6000543,3,61.638801
8.360184,10,61.639553
14.38387,20,63.320438
21.245108,26,63.32091
10.977006,15,63.32105
7.6106024,11,63.321079
21.523865,30,63.321101
14.19348,16,65.019344
6.3644214,9,65.019503
6.3642764,9,65.019558
21.011375,30,65.019608
6.7521315,8,65.019655
19.38966,27,65.019698
6.39833,9,66.661834
24.28839,30,66.661943
2.1216552,3,68.332968
10.551659,12,68.339451
5.557235,7,70.159813
2.566059,4,70.159931
5.6458664,8,70.159956
7.6928887,11,70.15997
9.242337,12,70.159983
5.362626,7,70.159996
18.049023,27,71.725768
1.1211282,2,71.725899
1.795329,3,71.725923
2.2488844,4,71.725941
5.3991404,7,71.725957
8.011973,12,73.474407
7.360197,9,73.478044
7.1615305,9,73.478088
1.7649229,3,75.374754
3.8533726,6,76.942548
8.620244,13,78.671038
18.740784,23,80.520117
6.4603124,10,80.52023
19.708652,26,80.520256
22.322113,30,82.389321
3.7261982,6,82.389436
14.143201,20,82.389461
17.433321,25,84.719473
23.31953,30,84.719681
5.38107,8,86.498181
3.166295,5,88.321142
2.398546,4,88.321292
1.480736,3,88.321333
19.100687,25,88.321366
7.4798937,10,88.321399
3.2444696,5,90.251868
7.72683,11,92.644107
3.1952856,5,92.644255
16.18953,23,92.644273
13.565547,17,94.564916
22.68064,30,94.565036
8.692171,12,96.325262
18.233932,26,96.32539
21.346174,30,100.433022
