#{"t_start": 1774912043.0290809, "env_id": "None"}
r,l,t
1.0486317,2,5.69813
1.7649229,3,7.52452
1.9583726,3,7.524592
1.6504337,3,7.52461
2.7613456,4,9.372523
3.5584104,5,11.105738
4.1182256,5,11.10598
4.1661186,6,12.90938
4.248229,6,12.909461
1.9583726,3,12.909514
2.9573765,4,14.684968
5.9532213,7,14.685066
6.559055,8,16.492411
5.562374,8,16.492484
7.1557994,9,18.185765
1.6000372,3,18.185833
7.7521152,9,18.185847
2.6012802,4,18.185856
8.154052,10,19.974337
7.964729,10,19.974423
6.0042486,9,21.639974
1.9583726,3,23.369563
8.927594,12,23.369651
4.8139777,7,25.259085
10.004975,13,25.259164
7.803392,10,25.259181
8.817257,13,25.259196
10.154951,13,25.259209
8.815236,13,25.259221
1.9602091,3,26.877405
9.346657,14,26.877508
5.7601547,7,30.40869
11.897296,17,32.263523
3.5606453,5,32.263603
2.1959543,3,32.263623
5.2535863,8,32.263638
12.469411,18,34.034999
5.088711,8,34.035083
7.4910946,11,35.984444
10.031791,15,35.984529
5.653392,9,35.98455
5.3309736,7,37.737205
6.191373,7,39.683245
3.1978648,5,41.589275
6.9287667,10,43.506655
10.685476,14,43.50674
4.1683264,6,43.506762
2.9592168,4,43.506777
22.587626,24,45.234114
16.979021,24,45.234203
17.991545,20,47.046675
6.7567134,8,47.046764
17.636272,25,47.046788
16.762104,25,47.046807
3.2830985,5,47.046822
14.708109,20,50.567423
10.566604,14,50.567517
12.248194,14,50.567535
1.480736,3,52.475821
6.2021217,9,52.475888
4.0565634,6,56.250638
12.223094,17,56.250715
22.62756,30,56.250733
23.94517,30,56.250746
21.06513,30,56.250758
22.8082,30,56.250771
1.9583726,3,56.250783
21.804594,30,56.250796
22.043259,30,56.250807
12.338518,17,56.25082
5.920455,7,59.554512
11.597941,15,59.554606
1.7649229,3,61.453446
8.299174,12,61.453561
5.8077345,8,61.453584
11.689431,15,61.453603
4.208119,6,61.453619
2.2488844,4,63.268815
4.92059,6,63.268892
9.239592,12,65.103443
4.5574136,6,66.919016
22.234917,30,66.919096
1.6482117,3,66.919114
4.7261577,7,68.826013
20.539854,30,68.826091
6.7583003,8,70.686591
21.71981,30,70.686671
10.005996,13,70.686685
11.954742,14,72.497409
8.758299,10,74.477461
3.0811617,5,74.477579
13.53543,19,76.426136
4.720505,7,76.426217
21.332209,30,78.361911
17.007792,24,78.361995
14.450128,19,78.362019
4.003446,6,78.362037
3.2023268,5,78.362054
10.6474085,13,79.955697
1.9200126,3,81.690499
10.810699,13,85.57106
2.7591155,4,85.571156
19.49469,27,85.57118
26.796913,30,85.571199
7.7530394,9,87.364625
3.5584104,5,87.364705
4.4022474,6,89.134947
18.04678,24,89.135054
4.187257,6,89.135088
8.154179,10,89.135114
6.997517,9,90.903741
7.362427,9,90.903801
18.979015,26,90.903815
14.747779,21,90.903825
21.606512,27,92.959894
12.895712,18,92.959984
15.298631,20,92.960005
10.453426,13,92.96002
3.7581232,5,94.840756
17.716173,24,94.840847
10.754215,12,94.840871
10.89812,16,96.640142
3.2045453,5,98.435013
2.0454545,4,98.435101
2.818415,5,100.166308
2.5660536,4,100.166394
13.218123,18,100.166412
7.5082283,9,101.827067
18.555874,25,101.827174
19.92787,23,103.645241
7.144552,11,105.475747
2.812777,5,105.475837
16.950293,24,105.475863
5.1400127,8,107.346174
5.7705994,8,107.346265
4.772727,8,109.172616
13.80334,17,109.172705
18.166498,22,110.955666
20.625166,30,110.955749
9.928417,13,115.676052
5.589839,7,115.67611
2.3985653,4,115.676128
21.75989,30,115.676139
21.0159,29,115.676148
3.5284092,6,117.382284
21.163158,29,117.382355
7.4103985,10,119.224572
3.7923133,5,119.224631
12.014789,17,122.054432
3.794167,5,122.054538
10.773971,15,123.969649
3.1205497,4,123.969748
19.271814,25,123.969773
7.245911,10,127.551072
6.595475,9,127.551179
14.491759,19,127.551198
4.503936,7,130.10533
15.586568,21,135.577957
13.779946,19,138.421336
15.768586,23,138.421477
6.3618135,9,138.421573
21.562717,30,138.421608
22.286455,30,140.295887
11.403591,17,140.295955
14.818066,21,140.295972
18.75547,27,142.059451
21.889912,28,142.059538
1.7671529,3,142.059561
7.0043745,9,142.059578
4.853596,7,143.917944
1.6000543,3,143.922111
20.881401,28,143.922183
20.853014,30,143.922204
9.650788,14,146.469839
22.980207,30,146.469905
2.6012802,4,146.469919
9.731902,13,148.24663
2.284091,4,148.246712
2.5634325,4,149.864973
8.336552,12,151.605131
6.4722514,8,156.025955
23.50535,29,156.02621
6.0150867,9,159.303761
20.625193,30,159.303834
13.533192,19,161.634461
20.943354,30,161.634548
4.2899303,7,163.263521
2.5642135,4,163.263608
20.869633,30,163.263625
5.0887065,8,163.263639
21.95577,30,165.270491
10.173747,14,165.270564
14.737984,20,167.243783
9.78409,15,171.705088
20.625235,30,171.705715
1.795329,3,171.705819
21.078978,29,173.34666
23.978508,30,175.205344
20.972885,30,175.205424
12.09692,17,177.661626
23.052181,30,177.661747
22.78504,30,179.524586
3.4464786,5,181.268346
21.850986,30,181.268606
9.595701,14,183.010914
14.326031,21,183.014284
3.8477137,6,183.014319
20.973257,30,183.014331
8.616069,13,185.624011
23.94643,30,187.705461
2.1317585,4,187.705635
5.884957,9,189.355116
10.571028,14,189.355201
17.004887,24,191.305583
3.4024167,5,191.305652
10.541009,16,195.805122
1.7649229,3,197.647001
10.978919,16,197.647087
16.151258,23,197.647103
23.420084,30,197.647115
3.9894397,5,197.647127
21.608673,30,199.571349
12.305993,18,199.571415
6.194399,8,199.571431
14.3771,20,203.57255
21.49016,30,203.572641
23.646038,30,203.572656
22.120872,30,205.287397
21.05921,30,205.287474
6.339793,10,205.2875
20.86484,30,205.28752
21.515966,30,207.362771
12.833165,17,209.767284
5.253587,8,213.363649
5.208189,8,213.363736
9.49462,12,215.138187
11.489375,16,215.138281
24.850605,30,219.846869
1.9602091,3,219.846954
22.99125,30,221.570001
14.650717,20,221.570076
20.861607,30,223.224442
12.29534,15,226.14622
19.514431,26,226.146329
9.259305,14,228.07332
21.399107,30,228.073387
3.1974366,5,229.784514
15.634972,21,229.784578
8.165471,12,231.467495
11.402335,17,231.467569
1.6471453,3,231.467584
4.0853896,6,231.467596
16.992321,25,234.064955
2.818415,5,234.06504
20.897831,30,236.004608
22.274351,30,237.888847
21.787178,30,237.888912
18.689346,25,239.62899
8.884749,12,239.62909
8.044179,10,242.172656
4.4150314,7,242.172742
17.414875,22,244.242135
21.951431,30,244.242232
4.59307,7,244.242261
13.493479,19,244.242279
15.258036,21,246.149227
10.115898,13,247.938256
14.580144,21,247.938336
22.207867,30,250.487866
5.7222023,8,250.487938
17.869448,26,250.487952
7.198397,9,252.179822
5.168327,7,255.769886
1.9583726,3,255.773896
7.874647,12,255.773984
21.698587,30,258.741911
3.4075139,5,258.744
20.736456,30,260.674057
6.451509,10,264.232959
23.50954,30,264.233044
20.744535,30,264.233067
21.21498,30,266.71089
22.795431,30,266.710979
7.49329,11,268.415645
22.11108,30,270.31241
1.278391,2,270.312479
9.4511385,13,270.312492
9.735893,13,270.312502
13.913905,20,272.104013
15.978345,22,272.104107
1.9602091,3,272.104137
5.492182,8,274.863652
21.801144,30,274.863726
23.713375,30,276.514214
15.4762,22,276.514472
1.6000372,3,276.514596
10.926273,15,279.853209
11.923686,15,282.656312
2.5682893,4,282.656388
12.05709,16,282.656405
19.00239,26,284.426584
7.0489907,10,284.426675
6.772831,10,284.426701
2.284091,4,284.426722
2.4011736,4,284.426741
23.547478,30,286.105994
13.942799,19,286.106092
1.7649229,3,290.734616
1.2765543,2,290.7347
21.140348,30,290.734723
7.8095555,11,292.454536
2.583331,4,292.454797
19.99834,27,294.266761
8.615882,13,294.266839
17.878561,26,294.266863
7.5694394,11,296.104595
22.722294,30,296.10467
0.96601653,2,296.104688
1.7649229,3,296.104702
20.571642,30,299.044626
4.2955914,7,299.044726
2.403409,4,299.04475
24.249676,30,299.044767
20.861616,30,300.835873
3.2023098,5,300.835955
13.219252,17,304.126226
21.702784,30,304.126289
16.53622,21,306.639001
