#{"t_start": 1774912042.7189057, "env_id": "None"}
r,l,t
1.2765543,2,4.550822
1.9602091,3,6.488407
1.6000543,3,6.488503
1.7649229,3,6.488526
1.6000372,3,6.488543
2.1106687,3,6.488559
2.2559147,4,8.116563
2.8534377,4,8.11665
3.3314724,5,9.844269
3.2148979,5,9.844357
3.9572065,5,9.844379
3.2023098,5,9.844396
3.794167,5,9.844412
3.1974957,5,9.844427
3.6611507,6,11.468795
1.795329,3,11.468879
5.3977666,7,13.316701
4.8509727,7,13.316795
4.289766,7,13.316827
1.0508548,2,13.316851
5.345552,8,15.114208
6.0348377,8,15.114278
5.0091453,8,15.114291
7.557371,9,16.970735
6.9942455,9,16.970825
7.5658517,9,16.970843
2.7272727,5,18.768789
3.2830985,5,18.768874
4.5329723,7,20.675744
3.258057,5,20.675833
4.959018,6,20.675851
8.395694,11,20.675864
3.6436617,6,24.363424
4.203553,6,26.020266
4.5592594,6,26.034013
3.0548155,5,26.034825
7.9588356,10,26.034929
1.7291999,3,26.034963
4.1630435,6,27.953587
12.808229,16,29.614928
15.356508,17,31.455269
8.160072,10,31.455349
4.2897696,7,31.45537
3.7252288,6,31.455388
1.795329,3,31.455402
6.399803,9,31.455417
9.608229,14,31.455432
12.252489,15,33.363027
14.232581,20,37.245009
14.855165,21,39.082653
4.601082,6,39.08274
14.537432,19,40.852945
18.1305,23,42.667626
14.579099,20,42.667737
17.25814,22,44.614067
20.189976,24,44.614154
7.8926096,11,44.614177
12.699592,17,44.614194
17.606384,24,44.614211
13.067124,19,48.614345
6.7630115,9,48.614671
8.494428,12,48.61485
8.843016,12,48.615039
4.594079,7,50.490999
17.329962,22,50.491091
2.7211926,4,50.491112
21.500387,28,52.253069
14.082965,18,52.253168
6.808247,10,52.253191
12.583284,18,53.98118
4.9205737,6,55.95787
1.9602091,3,55.957959
2.9592168,4,55.957984
20.859015,30,55.958001
12.156244,15,57.903599
9.4218,14,57.903685
11.421648,17,57.9037
17.794704,25,57.903711
1.9602091,3,57.90372
11.956463,15,59.793444
5.3303895,8,59.793533
8.753975,10,59.793557
3.758513,5,61.707616
16.879215,19,61.707727
21.846577,30,65.549885
3.0811617,5,67.34818
1.9251442,3,67.348289
7.8191767,11,69.24913
11.520377,14,69.249221
4.530302,7,69.249243
4.797931,7,69.249259
16.212471,21,71.001015
12.488963,17,71.001096
6.752135,8,72.807951
22.604761,30,72.808017
1.7193724,3,74.701283
23.076723,29,74.701365
11.339676,16,74.701389
13.0786,16,74.701407
16.86464,24,76.597201
17.107496,24,76.597279
10.905978,16,78.361575
3.9993546,6,80.336193
6.5040836,10,80.336302
4.4488635,7,82.051054
1.9583726,3,82.051147
19.209373,23,82.051168
12.338842,17,83.968811
3.2162936,5,83.968894
21.873308,29,85.784688
12.173639,17,85.784753
3.2329745,5,87.837334
5.5738635,9,87.840818
8.058378,11,89.662326
1.6000543,3,89.66241
12.612201,17,89.662428
13.488196,18,89.662443
8.642616,11,92.984792
10.672559,12,92.984882
3.9572015,5,92.984907
2.1625543,4,92.984925
17.427479,24,94.971681
14.770035,19,94.971773
16.728264,21,94.971791
12.792297,19,94.971804
12.961271,17,98.494895
3.7106993,5,98.494964
21.658419,27,100.39393
19.793818,23,100.394032
23.40791,30,100.394067
23.384329,30,103.907428
15.808203,21,103.907498
10.412636,14,105.676342
5.8879957,9,105.676412
14.657689,19,107.464973
16.903065,22,107.46506
5.160261,7,107.465077
15.801715,19,109.216235
9.811633,13,109.216304
6.889802,10,111.099893
11.818828,16,111.099949
20.899233,29,111.099962
2.9592168,4,114.210612
5.555395,7,114.210702
15.575648,21,114.210723
9.012276,12,115.985534
22.476028,30,115.985596
3.9770746,6,117.683563
1.7291999,3,117.683726
6.341017,10,119.421201
4.5592537,6,119.421476
6.520889,8,119.421615
8.060489,11,119.421637
11.793427,17,119.421654
6.8342795,9,122.178148
15.218231,21,122.178236
3.078535,4,122.178258
11.433663,17,122.178273
9.553522,11,122.178288
12.1279335,14,122.178305
18.540728,25,124.013846
5.9590135,7,124.013916
10.726167,15,124.013931
12.427458,16,125.564869
13.104806,18,127.479059
3.9993918,6,130.332132
19.264067,26,130.33228
16.800005,21,130.332314
3.3671901,5,130.332337
1.7649229,3,130.332361
9.160341,12,132.097682
23.03647,30,132.097758
4.570938,7,135.877398
3.755897,6,135.877525
4.969468,7,135.877542
20.076626,26,138.725838
7.402597,10,138.726031
11.756458,13,140.668142
24.023722,30,140.668216
9.841716,13,142.421087
8.407929,11,142.421173
19.303886,25,142.421196
9.605905,12,144.361
5.4045873,7,144.361086
12.256713,16,144.361104
7.4400744,9,144.361118
5.2326646,7,144.36113
10.45105,12,144.361144
12.3148775,16,146.803123
18.933825,24,146.803201
9.000878,11,146.803222
9.416341,13,146.80324
2.0795274,3,148.67289
9.772671,13,148.672964
6.955575,8,148.672983
5.5582156,7,150.334575
10.938315,14,150.33466
14.861552,19,150.334682
7.951357,9,150.334699
7.812116,10,150.334715
1.9583726,3,150.33473
9.360197,11,150.334744
17.165108,20,150.334758
7.796569,10,150.334772
2.9573765,4,152.161682
18.766352,23,154.879049
17.750938,19,154.879115
2.7862458,4,154.879127
0.96601653,2,154.879137
4.4009914,6,154.879146
3.4010205,5,154.879154
14.410782,17,156.824022
1.7649229,3,160.343851
4.7592974,6,160.34394
1.1962425,2,160.34396
