#{"t_start": 1774912042.6845925, "env_id": "None"}
r,l,t
6.9273686,10,203.7404
10.598571,13,203.740414
19.614666,25,205.670407
1.7649229,3,205.670507
8.846695,13,205.670535
9.297907,14,208.575047
16.206564,19,208.575365
1.278391,2,210.30449
14.500971,21,210.304569
12.693503,18,210.304588
15.129098,19,210.304601
21.569883,30,212.300562
6.903667,11,212.300647
8.046881,11,212.300668
27.563694,30,214.11479
21.447477,30,216.814713
20.693178,30,216.814795
1.6022727,3,216.814817
17.64279,21,216.814836
1.5982071,3,218.59992
15.853154,22,220.61479
3.4743052,5,222.507056
2.398546,4,222.507195
8.354385,10,222.507243
1.597429,3,222.507261
2.2536962,4,226.984201
5.818272,9,226.98429
5.128446,8,226.984313
9.49196,14,226.984334
23.268856,30,228.819056
21.687307,30,230.70286
2.7572908,4,230.70295
1.480736,3,233.502868
0.96601653,2,235.311182
10.067449,15,237.014996
21.242495,30,237.015088
20.50951,28,237.015106
0.96601653,2,238.790839
21.010098,30,238.790935
1.6508052,3,238.790959
9.134134,13,238.790977
3.9572065,5,241.698849
11.608447,16,241.698944
4.208009,7,241.698963
24.456928,30,243.193153
17.62029,25,245.028644
7.6081676,11,245.028719
14.371138,19,245.028735
23.589867,30,245.028745
6.434393,9,245.028754
19.558702,27,246.875115
2.3989825,4,246.87521
22.119677,30,249.583986
21.512438,30,251.121389
15.877094,21,253.017194
9.283791,13,253.017282
5.248895,7,253.017305
14.510619,20,257.42364
2.9272568,5,257.423729
5.086036,8,257.423752
16.051538,21,259.287493
5.2310047,8,259.287579
1.9583726,3,259.287596
5.0765777,7,259.287609
7.606087,10,259.287622
22.271696,30,259.287635
3.195362,4,261.327719
8.193088,10,261.32779
20.989166,28,261.327805
11.574065,16,261.327816
21.520252,30,262.976645
22.788568,29,262.976771
22.05749,30,265.308921
19.282478,27,265.30898
3.882298,6,265.308998
7.955575,9,265.309011
15.479816,22,265.309023
7.047221,10,265.309038
6.80817,9,267.048114
11.196102,14,268.75993
8.223505,12,268.75999
3.9571974,5,268.760003
4.955063,6,268.760014
1.7649229,3,270.662674
1.9602091,3,270.662729
20.40266,24,270.662742
2.757267,4,273.389404
9.740693,14,273.389502
5.5975766,8,273.389526
2.403409,4,275.236601
21.06168,30,277.001558
6.287537,9,277.001644
4.8001666,7,278.949761
11.4647,17,278.950185
2.566059,4,278.950381
3.7292109,6,281.691447
2.1625543,4,281.691704
4.358755,6,283.589347
6.6069617,9,283.589616
5.363449,7,283.589746
20.829042,30,283.589866
11.343184,17,285.548378
5.559084,7,285.548448
8.193171,11,285.548463
5.9532213,7,287.579152
9.299956,14,287.579228
3.9572015,5,287.579246
2.3967478,4,287.579259
16.470156,24,287.579271
6.766156,9,291.616209
3.1996822,5,291.616412
3.2517397,5,293.368815
3.7603533,5,295.174773
24.81089,30,297.857542
26.36307,30,297.857642
21.124805,30,297.857674
1.6000372,3,299.650816
6.1243973,9,301.406111
13.839826,20,301.406199
6.361763,8,303.183033
17.577116,22,305.750555
12.327158,15,309.389638
7.052752,11,309.389729
9.174044,13,311.290025
18.120007,23,311.290123
6.125114,9,313.94856
3.8454924,6,315.711573
5.7775245,8,315.711666
15.334121,19,317.611795
6.57269,10,317.612035
21.125383,30,317.612157
21.64265,30,319.528868
13.323319,17,319.52916
19.076046,25,319.529299
21.635433,30,319.529427
22.24449,30,319.529549
14.907661,22,322.395206
22.962734,30,322.395298
21.981236,30,322.39532
8.755046,10,322.395337
10.991303,16,324.375278
11.912642,18,324.375463
12.813879,18,324.375537
21.754839,30,324.375598
5.5990567,8,326.385556
16.81047,22,328.107679
10.7124195,16,330.689503
20.86173,30,330.68959
11.498484,16,330.689612
2.454713,4,330.68963
2.4011736,4,332.509941
18.782682,25,334.223936
23.929173,29,334.224022
6.3954144,9,334.224042
1.6000372,3,336.026308
6.3990483,9,336.026389
5.7564764,7,338.870412
7.953729,9,338.870933
1.597429,3,342.607344
11.545549,16,342.607436
3.762564,6,342.607455
20.454542,30,342.60747
2.5660536,4,347.229204
5.5946655,8,347.229292
20.976198,30,349.122046
24.176815,30,352.900597
3.1589653,5,352.900694
18.00448,26,355.684448
1.9583726,3,355.690124
7.054582,11,355.690173
17.952063,25,363.957034
17.005133,25,367.270489
21.29895,30,367.270584
4.177236,7,368.848313
4.287493,7,368.848378
10.067421,15,368.848391
8.588709,13,368.848401
21.29047,30,373.518528
8.38064,13,373.518598
21.55942,30,375.249421
4.1995254,6,375.249488
7.697076,11,377.207541
21.271776,30,379.903828
23.218428,30,379.903927
22.073767,30,381.682774
21.104692,30,381.68287
22.329603,30,381.682893
1.2765543,2,381.682912
22.478672,30,381.68293
21.649078,29,383.316442
20.884697,30,383.316512
16.841114,24,383.316525
12.902019,18,383.316535
22.947659,30,383.316543
22.007866,30,383.316552
3.7581232,5,385.192567
5.7695045,9,385.192657
21.092213,30,385.192682
