#{"t_start": 1774950764.4366562, "env_id": "None"}
r,l,t
0.98938525,2,4.843714
1.1962425,2,4.843933
1.9583726,3,6.54402
1.6000372,3,6.544163
1.597429,3,6.544188
1.9583726,3,6.544203
1.9583726,3,6.544218
1.9602091,3,6.544232
2.1216552,3,6.544246
2.403409,4,8.377255
2.3985653,4,8.395816
3.3979666,5,10.030877
3.3175883,5,10.030998
4.397432,6,11.823201
4.202872,6,11.82335
5.2795744,7,13.575515
5.3254313,8,15.244544
5.0918612,8,15.244897
1.6000543,3,15.245029
5.3656144,8,15.245148
5.747304,9,16.665946
7.3538938,9,16.666464
6.663093,10,18.281377
8.455658,10,18.28151
7.611075,11,19.956098
7.7717214,11,19.956213
6.4740973,8,19.956233
8.006892,11,19.956248
3.6454918,6,19.956264
7.9004717,12,21.559961
9.562231,12,21.560066
8.170067,12,21.560083
6.327329,9,21.560093
10.12196,12,21.560102
2.7613456,4,23.218079
9.849154,13,23.218206
9.7726755,14,24.824122
8.684111,12,24.830179
9.971602,14,24.830336
5.087884,8,24.830456
9.24377,14,24.830575
5.014863,7,26.459667
11.52775,15,26.459809
8.181926,12,26.459832
10.443652,13,26.45985
5.9534745,7,26.459869
9.97711,15,26.459886
2.3974714,4,26.459902
13.588417,16,28.321133
11.849663,16,28.321285
4.858091,8,28.321316
3.955094,5,28.321335
12.24042,16,28.321353
13.56981,17,29.939798
6.2734985,7,31.497889
11.051337,15,31.49806
5.687498,8,33.271413
2.4998636,4,33.27151
3.794167,5,33.271526
9.761874,13,33.271537
8.725961,11,33.271547
5.406183,7,33.271556
8.174447,11,35.038089
5.472068,8,35.038225
3.9989178,5,36.797091
17.67498,21,36.797321
5.262274,8,38.419114
1.9583726,3,38.419242
13.819125,19,40.166985
8.7227545,11,40.167104
10.454087,12,40.167127
6.127943,9,40.167144
2.2773986,3,40.167161
2.403409,4,40.167176
8.135828,12,41.939564
6.3941803,8,41.939696
17.33256,22,43.571615
13.336638,18,43.571899
18.78218,25,43.576229
4.8045993,7,45.249799
10.74223,16,45.249985
1.6000372,3,45.250013
1.9974614,3,45.250031
6.0104613,8,46.945754
9.362421,11,46.945956
10.555986,12,46.945995
5.765036,8,46.946018
7.6038675,10,48.555212
5.054204,7,48.555352
9.669721,14,48.555382
4.802375,7,50.150525
2.757267,4,50.15065
8.287136,11,50.150674
12.383185,17,50.150693
1.7671529,3,50.150709
14.153935,16,50.150725
20.28543,29,50.15074
10.21269,14,50.150756
23.812061,30,51.841303
21.454771,30,51.841428
22.139257,30,51.841453
21.160236,27,51.841471
21.657639,30,51.841488
20.028135,27,51.841505
5.7560744,7,51.841522
20.88879,30,51.841537
22.01338,30,51.841553
4.4092526,7,51.841579
24.181585,30,51.841595
5.764287,8,53.474253
7.483476,11,55.16631
4.9555893,6,55.174602
1.480736,3,55.174732
2.2755582,3,56.868675
12.426487,18,56.86882
20.95175,30,58.546036
6.955313,8,58.546182
7.468294,9,58.546211
2.5642135,4,58.546226
4.054115,5,60.170432
13.619004,19,61.955297
6.594407,8,61.955478
5.955576,7,61.95551
4.849825,6,61.95553
6.603311,9,63.725157
3.409091,6,63.725295
5.1910696,7,63.725317
17.7369,24,65.554742
4.359125,6,65.554876
6.553005,8,65.554899
17.224203,22,65.554916
5.6261854,9,65.554935
14.293198,18,65.554951
20.33622,24,67.422193
13.558969,17,67.422389
5.554614,7,67.422442
14.183491,20,67.422482
6.4502444,9,67.422525
21.731352,30,68.868982
11.800184,14,70.823379
21.11967,26,70.823537
4.012987,6,70.823564
6.673894,8,72.623402
10.566794,14,72.62358
4.003446,6,72.623636
21.685081,30,74.063252
8.503571,13,74.063386
8.805192,12,75.675928
3.5624819,5,75.676028
4.983187,8,75.676042
21.966923,30,78.545527
5.362626,7,78.545664
17.305672,21,80.414974
5.367161,7,80.415168
3.1997015,5,80.415212
21.6532,30,80.415251
4.676727,6,80.415284
